Node ID,USAGE_COUNT
chemicals,6
Lifestyle,2
Health,11
Science,3
Tech,2
Investing,3
ICYMI,4
RailUnion,2
OnBalance,19
AndyVermautLovesReutersPressAgency,2
NotImpressed,1
OverIt,1
CopCity,17
CryptoLife,1
Bitcoin,3
Crypto,4
StopCopCity,22
currentevents,1
therapy,1
whatsbeenbetterpodcast,1
AL,16
Accident,37
Accidente,34
Tren,34
dogs,1
pets,1
OH,25
MediaFocus,3
UltimaHora,20
AndyVermautLovesAP,5
Whatsapp0032499357495,5
cryptoexchange,1
DOGE,1
Senet,1
Scrutiny,2
NTSB,18
AlabamaHealth,3
USHealthCare,3
HealthInsurance,1
amquerying,2
diamondandsilk,81
118thCongress,2
testified,1
Retaliations,1
Fox,2
Maandamano,1
19years,1
BABYMONSTERLastEvaluation,1
BAYPSG,1
snow,1
Welcome7DREAMtoThailand,1
WATCH,31
fight,1
fights,1
hoodbrawls,1
hoodfight,1
hoodfighting,1
hoodfights,1
hoodvideos,1
instantkarma,1
knockout,1
knockoutfights,1
memes,3
fightingvideos,1
fightsatschool,1
fightvideos,1
crazyfight,1
schoolfights,1
gore,1
Atlanta,2
Derails,7
RushHour,18
CorporateParasite,2
Mitam,3
zhangxinyue,2
ZeroWaste,6
EcoFriendly,2
Ecology,2
abc,7
MBTA,5
MassDOT,5
Boston,5
Toronto,2
TTC,2
GoTransit,2
GoTrain,2
GoBus,2
mtnews,1
NovigoNews,3
SuddenDeath,18
SuddenDeaths2023,18
Nuremberg2,20
DiedSuddenlyNews,18
Suddenlydied,18
ItsTheJab,18
DiedUnexpectedly,18
DiedSuddenly,18
WorkersStrikeBack,2
suddendeaths,18
PfizerLiedPeopleDied,18
backbonefinancial,1
commerce,1
CNN,9
IsraeliUSANews,1
WorldNews,9
IsraeliNews,1
IsraeliUSNews,1
oops,3
TrumpTrainWreck,18
federal,4
weeks,2
SA911,2
technology,2
technologynews,2
technews,2
RepublicansAreDestroyingAmerica,5
derailtrain,1
MSNBC,9
ClimateEmergency,2
Immigration,1
ConsentDecrees,1
BanPSR,1
youtube,9
washington,3
california,8
wanderlust,3
faces,1
probe,1
separate,1
dailymail,1
news24,1
northcarolina,16
politicalnews,1
tazamind,1
todaynews,1
usanews,2
worldwidenews,1
Απεργια8Μαρτη,2
Τεμπη_Δολοφονια,2
ΝΔ_ΤΕΛΟΣ,2
MasterChefGR,2
InternationalWomensDay,2
ing,2
ThankYouJournalistsForTheNewsWeGetFromYou,3
AndyVermautThanksYou,3
UK,4
Canada,2
France,2
Germany,2
Australia,2
BlackTwitter,2
Instavideo,10
globalwarming,3
climatecrisis,1
RWB,1
jury,1
RailSystems,1
NewsInTweets,7
NewsInTweetsCom,7
WorldNewsInTweets,7
Independent,1
RepAOC,1
digby56,1
HouseDemWomen,1
IlhanMN,1
RepEscobar,1
RepDMP,1
RepSpanberger,1
RepMGS,1
RepSherrill,1
ahimes,1
Reptedlieu,1
RepJayapal,1
GOPLiesAboutEverything,2
AmericaIsUnderAttack,1
Ironic,1
Senators,2
The5oClockNewsHour,1
ProfitsOverPeople,2
washingtonpost,1
JesusIsLord,1
JesusIsComing,1
EndTimes,1
Rapture,1
WashingtonToday,1
AOC,2
NexstarDC,4
ALPolitics,1
mustread,2
feedly,3
Nature,3
WhiteNoise,6
ChemicalBomb,6
NewsInVids,6
NewsInVidsCom,4
WorldNewsInVids,4
NewsVideos,4
NewsInVideos,4
environmentaldisaster,3
unbelievable,1
WestVirginia,7
Nordstream2,1
KeystoneXL,1
NotJustEastPalestine,3
AmericanChernobyl,5
TrainDerailments,10
Obama,1
infrastructure,3
debtceiling,1
terrorism,1
Teal,2
Vaucluse,2
NSWPOL,2
United_States,4
GreedyMFer,1
wtae,2
ControlledDemolition,1
FJBiden,2
railindustry,1
firepetebuttigieg,4
DOT,1
WTF,5
8NN,2
PRnightmare,1
TrainDelay,1
traincrash,6
BigGov,1
Johnny,1
NoMorePlastics,1
NeverGiveUp,2
StayStrong,2
OnwardAndUpward,2
TodaysMedicalUpdate,1
Medicine,3
LockharTVMedia,3
WNN7,2
WNN7com,2
WorldNewsNuggest,2
TheDemVine,18
Journalists,18
BeTheChange4USA,18
Dems4Rights,18
epaimages,2
LIVE,4
livestream,4
teamarianna,2
BoughtBiden,1
IFABP,1
ClintonBodyCount,1
Pennsylvania,48
TRAINWRECK,6
AnotherTrainDerailment,1
NewsBreakLocal,2
Texas,5
retweet,2
Detailment,2
cspanchat,1
PalestineOH,1
EastLiverpool,5
democrats,9
democracy,2
republicans,13
Equality,2
legislation,2
water,8
earth,1
accountability,4
NorfolfSouthern,1
MikeDeWine,3
ChemicalSpill,3
plasticpolllution,4
plasticpollution,9
buttigiegdemonic,1
buttigiegsatanic,1
WheresMyMoney,1
NorfolkSouthernCEO,1
OhioChernobyl,103
PrayersForPalestine,1
PalestineStrong,1
cpva,4
FoxNews,127
talkingpoints,1
JIMINS,2
ElonMusk,2
Ucrania,3
TwitterCEO,2
vaccines,2
healthcare,2
Floyd,2
JennaEllis,2
mrbeast,2
thecure,2
ThursdayThoughts,2
thursdayvibes,2
NFS,1
WhereIsMayorPete,1
SaveThePlanet,1
NorfolkS,1
contamination,1
OhioGOP,1
WATCHLIVE,4
LiveCoverage,1
USEPA,1
RepublicansMustAcceptTrumpFailures,1
keepitonthetracks,1
Sending,1
chemicalaccidents,1
accidentinvestigation,1
ohiotrainaccident,1
tv,3
washingtondc,3
assetmanagement,1
hedgefund,1
fixedincome,1
mutualfunds,1
money,3
trading,2
price,2
currency,1
globaltrade,1
investment,2
stockmarke,1
SupplyChainsBroken,1
images,5
stories,4
localnews,2
statenews,1
publicsafety,1
ENMNEWSNEWS,2
Hingham,2
AndyVermautFromBelgiumLovesABCnews,3
ThankYouForTheNews,3
Attualità,1
estero,1
websuggestion,1
italy,1
notizie,1
flash,1
coppednews,2
USCongress,1
ArrestTrumpNow,52
woke,1
nationaltransportationsafetyboard,3
investigate,2
GOPSeditiousTraitors,6
J6CoverUp,2
DISGRACE,2
oversight,2
GreaterLagosRising,2
NBCNightlyNews,1
WorldNewsTonight,1
AmericanElection,2
AmericanPolitics,1
NBC,3
NavyCapital,2
barronsonline,1
Cracker,1
plasticstreaty,20
pnw,1
dump,2
AKRON,1
smallbiz,2
Laufer,1
Ukraine,12
Mexico,2
Mafia,2
Steel,2
Fentanyl,2
Nitazene,2
xylazine,2
Guns,2
RealEstate,2
NewsBeakFeed,2
Newsflash,2
CTA,7
Metra,7
ChiTown,7
michigan,3
NewRiver,3
Attack,1
podcastnews,2
blacksouledlyingdoucheface,1
DiseaseDaily,3
CaseyJones,1
GratefulDead,1
paylimitwall,1
Fresh,88
justice,4
a2j,1
startup,1
TheseWhiteBoys,1
stocknews,1
notification,1
Opinion,3
WestSeneca,1
8Mar,1
DiaInternacionalDeLaMujer,1
Venezuela,4
SaferWithBiden,1
SquirrelTribe,3
salon,3
ReMINDER,2
DeWINE,16
DeRegulate,2
USpoli,5
crisis,2
PR,3
webershandwick,2
mess,2
scandal,2
continues,2
notfixed,2
united_kingdom,3
will,2
KochNetwork,3
whatilearnedtoday,2
investigation,5
NorfolkSouthernRailway,4
hazardous,5
KarenRebels,10
Oklahoma,4
AIR,3
killed,4
CrimesAgainsHumanity,2
BipartisanInfrastructureLaw,4
Clintons,1
Verdigris,2
Purdue,6
DEVELOPING,2
tragedy,1
Dies,1
Erinbrockovich,3
Jan6th,2
GQP,1
NorfolkSouthernRR,1
MartinValores,1
TaoyEconomia,1
maddow,7
RegulationNow,1
RYSFISK,1
RYSHAMPTON,1
RYSNSU,1
extremism,2
deepstate,2
AnotherCoincidence,2
de,1
WestCentralOhio,6
WEWS,2
ClarkCounty,12
USAToday,6
AngelEyes,1
wtfwithtrains,1
USAClimate,1
USClimateControl,1
AmericaClimateCrisis,1
AmericaClimateEmergency,1
AmericaClimateJustice,1
Millions,1
Payout,1
Elkhart,1
DemCast,23
factsmatter,2
intermodal,1
Holt,1
TickerTick,8
UKBreakingNews,1
InternationalNews,2
UKBreaking,1
MSM,4
ArrestAllSeditiousnists,4
Dioxin,3
PFAS,1
ForeverChemicals,1
Carcinogens,1
Relocation,1
NationalizeRailroads,1
Marham,1
chemicalexposure,1
adventure,2
washingtonstate,1
explore,1
Rusia,1
EEUU,1
UE,1
Putin,1
Zelensky,1
NATO,1
OTAN,1
Alemania,1
España,1
PSOE,1
Podemos,1
PedroSanchez,1
dtoo,1
umpg,1
VirginiaHealth,2
Wellness,3
USWellness,2
Virginia,3
VirginiaHealthCare,2
TrainDerails,7
present,1
Bidenflation,2
conductor,1
accide,1
WhatTheNorfolk,1
getötet,2
Pipelines,2
ProxyWar,2
FJB,4
crazy,1
TonyaHarding,2
NuclearWar,2
state,4
unveils,1
newsafety,1
plan,1
following,1
second,3
hockey,5
baseball,5
tennis,8
football,5
markets,6
stock,4
sp500,4
FOXNewsRundown,2
Hunstanton,2
NotReadyForTheWeekendTimeStretchToBeEndless,1
Nothing,1
accountable,1
GreenEnergy,2
SustainableEnergy,2
Energy,3
Photovoltaic,1
TransportationSafety,2
IndianWells,3
COVID19,3
SEPTA,1
Philly,1
Philadelphia,1
PennDOT,1
wftx,2
KTVONews,1
UnbossedTYT,1
TYTLive,1
NinaTurner,1
MEDIABUZZMeter,2
JimmyDore24,3
abcnews,10
engineeredderailment,1
GOPClownShow,2
MaryanneWilliamson,3
Verdict,7
ToxicChemicalSpill,1
NCAT,1
DerailedTrain,1
UnbiasedNews,1
Depolarization,1
COVID,2
TONIGHT,1
SafetyPlan,1
Monday,1
market,2
Astonmartin,1
PennsylvaniaBusiness,2
USBusiness,2
BusinessLife,1
CNBC,2
CPAC,4
NationalizeTrains,3
breakingPointsWithKrystalAndSaagar,1
WEFLYSOON,1
DropInTheBucket,1
WFPL,2
ACAB,1
EastPalenstineOhio,3
rockbridgecounty,1
rocks,1
resources,1
results,1
memeber,1
information,3
learning,1
southwen,1
RailroadScab,1
BidenIsAScab,1
UnionStrong,20
Railworkers,1
thenextnewsnetwork,1
ShutdownNSRR,1
MondayMotivation,3
Pride,1
LGBTQ,1
Resistance,1
StrongerTogether,1
KindnessMatters,1
Motivation,1
BELOhioSpill,1
pleasesign,1
Russia,5
UkraineRussiaWar️,5
HarryandMeghan,3
Intikam,3
SeditionCaucus,6
DefeatedFormerPresident,2
WealthBeforeHealth,6
CantBlameButtigieg,1
NorfolkSouthernRailFail,1
Partygate,2
MattHancock,2
anews,2
love,4
bbcnat,1
Follow,2
happynewyear,1
Food,2
Cricket,2
Student,2
Infotech,2
WFH,2
Marketing,3
yourchoicenews,2
currentnews,2
newspaper,2
dailynews,2
newspapers,2
newsfeed,2
newsoftheday,2
localne,1
ohiotrain,3
RailSafetyAct,1
systems,1
WEF,1
TrainDerailmentSeason,1
StuNews,1
Britain,2
WhatADay,2
girlpower,3
ResistanceUnited,4
kcm,1
ÉtatsUnis,3
JimAndSam,2
buildbackbetter,2
RailRegulation,8
NewsAndInformation,4
linkedin,2
GMB,2
youtbe,2
InPlainEnglish,1
LocalBeatMorningBriefing,1
WashingtonHealth,1
HealthAndFitness,1
POTUS,2
columbus,2
gmtutc,2
springfieldtownship,2
competition,2
influencer,2
influencermarketing,2
tbt,3
traveltuesday,2
vegan,2
fitness,2
FOX13,2
American,2
war,2
列車脱線事故,1
Horror,2
Injured,2
Crash,3
Greece,2
Europe,2
Bakhmut,2
USinfrastructure,1
AmericanGovernment,4
USGovernment,4
OhioGov,1
OhioGovernment,1
USAGovernment,2
TRUMP2024ToSaveAmerica,8
stockmarketreport,1
Tradingmarket,1
stockmarkettips,1
RollingLoud,1
viral,3
reels,2
hcntimes,1
HCN,1
HcnNews,1
gaming,2
movies,2
racing,2
bloopers,2
comedy,2
funny,2
GTA,2
PS5,2
XBOX,2
PC,2
superbowl,2
UFC,2
Boxing,2
NYT,4
ShippingPodcast,1
Logistics,2
SupplyChain,2
transparency,3
PVC,3
NewYorkTimes,1
read,1
rememberthe2015derailment,1
maryvilleTN,1
csx,1
eastpalastine,140
ohioderailments,2
BidenDeliversAGAIN,1
AmericanHealth,2
dereail,1
hazzards,1
regulate,1
osha,1
mkt,1
borneobulletin,1
DiversityHire,1
TransportationSecretary,1
Seriously,1
investmentnews,1
economy,1
newslookout,1
headlines,1
Disasters,1
practiceEnglish,1
ESL,1
SeekingAlpha,1
EndCitizensUnited,2
makeitmakesense,1
RepublicansHateAmerica,4
railroads,5
GiveNoFucksSouthern,1
PeteButtigieg,3
TrumpisaNationalDisgrace,4
SanduskyOhio,2
TrainConductor,1
TrainYard,1
ASecond,1
washington_d,1
new_york_city,1
克拉克縣,2
緊急事務管理局,2
邁克德溫,2
拜登,2
交通部長,2
皮特布蒂吉格,2
SaturdayThoughts,4
SpringfieldOH,7
truecrime,9
CongressMustPassRegulation,1
CPAC2023,4
StartTheClock,2
RealTime,2
RTOvertime,2
Another,1
newstoday,1
newsite,1
ne,1
TrumpWasRightAboutEverything,2
TrumpDeregulation,1
PA11,2
NewWorldOrder,2
NY21,2
BidenDestroysAmerica,9
WakeUpOhio,1
VoteThemAllOut,1
Breitbart,4
BigTrainStuck,1
123INFO,1
SpringfieldOHTrainDerailment,1
NOTAGAIN,1
FreightTrain,4
VanityFair,1
WheresJoeBiden,1
TaxTheRich,1
Sherrod,2
Brown,1
FUN,1
Amina,1
Diesel,1
EquityinAction,1
HappyINDay,4
Turkey,4
EarthquakeSome,4
thievesinschools,4
Oshkosh,2
WI,2
toxins,2
CovidIsntOver,16
Damar,16
5Mar,3
YoSoyChávez,3
Mike,1
Turner,1
PersistOn,2
india,1
giveaway,1
quote,1
win,1
photooftheday,4
explorepage,1
like4like,1
followme,1
picoftheday,1
me,1
selfie,1
summer,1
art,3
f,1
SundayTODAY,16
FirePete,2
fakenews,2
wes,1
cargotrain,1
brjl204,2
reckless,1
AmericanHealthCare,1
environmentalhazard,1
OhioCoverup,17
NorfolkSouthernEVIL,1
BahrainGP,1
sabotage,1
sleepercells,1
conspiricynuts,1
tinfoilhats,1
regulators,1
states,1
cities,1
counties,1
emergencymanagment,1
neighborhoods,1
FreePalastine,1
ohioagain,1
FMTNews,1
FMTWorld,1
DRAKE,1
NBCNews,1
Sen,1
thisweekinconspiracy,1
podcast,1
rap,1
RepublicanGreed,1
See,1
albacraft,1
Romancingtheatom,1
Additional,1
EastPalenstineOH,27
sandusky,1
ladiesofletters,2
BlackRock,4
SundayFocus,2
NS,1
interesting,1
drudge,1
A,1
poweroutage,3
NFTs,1
DeadEndRoadmap,1
ItsNotWorking,2
DeceptionBytes,2
TheCircleJerkExpressTrain,2
infowars,2
freespeech,2
EarWorm,2
Ainvest,3
Ainvest_Wire,3
Equity,2
economic,1
budget,1
network,3
updates,3
NorfolkAndSouthern,1
BidensAmerica,1
Τεμπη,2
Βελοπουλος,2
Cancer,1
East_Palestine,2
county,2
wrote,1
Facebook,1
Patrol,1
reported,1
Emergency,2
Management,2
Agency,2
asking,2
residents,2
Park,2
SportsNews,1
shelter,3
republicn,1
Again,2
moj_podsetnik,2
JIMJORDAN,1
SuperfundSite,1
UFC285,1
CanadaGovernment,1
GovernmentUpdates,1
CanadaGovernmentUpdates,1
CanadaGovt,1
CanadaNewsToday,1
GoingForBroke,1
CorporateGreed,1
UnderAttack,2
cargo,1
OhioChemicalSpill,1
JustPlainPolitics,1
DOJ,2
Dayton,1
sarcasm,2
ssbm,1
BlackGirlMissing,1
Sounders,1
cf97,1
FigueroaMagsayo,1
AustinFC,1
AllForCITY,1
Clark,1
SOIL,2
amtrak,1
ChrisRockLive,1
chrisrock,1
chrisrocknetflix,1
USANewsToday,2
OhioVote,1
if,2
popculture,1
CGIU2023,20
TheBlaze,2
BMPRT,1
twitter,1
PointmanRT,1
CNNNews,1
ma,1
investor,1
investinyou,1
trade,1
illuminati,1
neverforgetneverforgive,1
NeverForget,1
BidensBrokenAmerica,1
Aboard,1
Company,1
materials,3
TRENDINGNEWSTODAY,4
AskingForAFriend,1
Economics,1
Bidenfailures,2
twitterfiction,1
SitTheFuckDown,2
Saturdays,2
Non,2
Passenger,2
One,2
Month,2
Catastrophic,2
Wreck,2
Paging,2
beauty,2
model,1
cc,2
NorfolkSoutherntrain,2
Justice4Ohio,2
justice4springfield,2
justice4EastPalestineOH,2
PassRegulationsNow,1
MoneyOutOfCongress,1
cinema,3
hollywood,2
zerohedge,3
Alerte,2
OhioState,2
Sprinfield,1
southbound,1
newscenter7,1
route41,1
gatewaydrive,1
DeWineMustResign,1
TaxScam,2
SNAP,2
ProtectSNAP,2
speingfield,2
innovation,1
俄亥俄州,4
Families,2
MA7,2
NationalWedgeDay,2
care2,1
NCFC,2
phep,1
EMGTwitter,20
Train_Derailment,2
United_States_Environmental_Protection_Agency,1
Poison,1
NorthCarolinaGov,1
confront,1
bearings,1
toxicspillvictims,1
OhioLaw,1
PennsylvaniaLaw,1
RailwaySafetyAct,3
ClassActionsBlog,1
ClassActions,1
TheFive,1
PostLive,2
2023CM331,1
EducationFreedom,2
WWG1WGA,5
stranglehold,13
WeWinTheyLose,13
FB,1
Mundo,1
marketwatch,2
financial,3
Buffalo,1
USAEnvironment,2
USEnvironment,2
USAClimateAction,1
USAClimateChange,1
Jail,1
FoxandFriends,1
GreatReset,2
OhioTrainWreck,1
brandsafetynsfhealthissues,2
communicablediseasecontrol,1
wpxi,3
RepublicanHypocrites,3
deregulating,3
poisoned,1
OhioBeforeUkraine,4
OHSen,4
petrochemicals,1
chemicalsafety,1
breakfreefromplastic,1
plastic,2
LIVEEVIL,3
Operator,1
toxicchemicals,1
Monongahela,1
Hearing,1
Chemical,1
Awards,4
Brundall,4
Lowestoft,4
WherryLines,4
GreaterAnglia,4
BrundallGardens,4
CommunityRailPartnership,4
CuttingBack,2
lairofmorpheus,1
ClassAction,2
GovernmentSubsidizedGreed,1
TheGreedOfTheFewIsKillingUsAll,1
UnionsForAll,1
powertothepeople,1
Monmouth,1
epstrong,1
WHY,1
PAVeteransAffairsandEmergencyPreparednessCommittee,6
DerailmentHearing,6
AVoiceforthePeople,6
NationalizeRail,2
joemadison,1
avgeekiness,2
avgeek,2
flying,2
redeye,2
easyjet,2
Aberdeen,2
Gatwick,2
oneway,2
speedyboarder,2
WLTX,1
Law,1
SafetyFirst,1
Communities,1
Commodities,1
Future,1
CEOs,1
Insights,1
CanadaEnvironment,1
CanadianEnvironment,1
CanadianEnvironmentNews,1
GOPClownShowContinues,4
Aylsham,1
AmericanGlobalWarming,1
humor,1
writing,1
ohiopalestine,2
ohiodisaster,4
fox44tx,1
WakeUpEastPalestine,6
niet_in_journaal,1
nieuwsuur,1
Teletekst,1
Debt,2
PPP,2
Hoosierhealth,2
nextlevelindiana,2
blacknews,1
blackpolitics,1
blackmedia,1
blackviews,1
Exclusive,50
Gorleston,1
IranianUSANews,1
IranNews,1
PennsylvaniaElection,1
PRCaseStudy,1
EastLiverpoolOhio,2
EastPalestineDisaster,8
Cuba,2
11J,2
ManateeCounty,12
2PersonCrews,1
ChicagoElection,2
ChicagoMayoralElection,2
Petition,1
Paul,1
Krugman,1
Local,2
ZIOEvil,1
onpoli,2
cdnpoli,4
OhioTrainMeltdown,1
ENMNEWSPOLITICS,2
Happisburgh,1
plastics,1
Whistleblower,1
ChernobylOhio,10
cash,1
Wymondham,2
MidNorfolkRailway,2
COVER,4
Freespoke,7
DATA,2
EyeonUSofA,1
BidenIsDestroyingAmerica,3
TrumpCrimeFamily,3
TrumpIsALaughingStock,5
FreshWords,77
goodsamaritan,6
warehouses,1
procurement,1
logisticsmanagement,1
purchasing,1
warehousing,1
strategicsourcing,1
supplychainmanagement,1
strategies,1
merchants,1
WestWatch,4
LOL,1
MayonnaisePeter,1
StronglyWordedLetter,1
regulation,3
profits,1
Dominion,2
illustration,1
DemsAct,3
TrafficDelays,14
Caution,14
BeCareful,14
TrumpBuiltThat,1
sunday,6
toxicwaste,10
deadlinewh,1
overconsumption,1
EnvironmentalHealth,11
DemsAtWork,11
DemsDeliver,11
GOPmediastunts,11
GOPShameOnYou,2
TuckerCarlson,2
hazardouswaste,1
USRailfirms,1
VoteBlue,1
KentState,1
CollegeOfArtsAndSciences,1
CluelessGovAbbott,1
lobbying,1
HR,2
wishyouwerehere,2
postcard,2
Sheringham,2
NorthNorfolkRailway,2
VisitBritain,2
homeswap,1
Miami,2
Es,2
guardian,1
groundnews,1
BidenAdministration,3
wasteinSandusky,1
CNNSOTU,3
CORRUPTION,3
interiordesign,2
architecture,2
LeonardoDiCaprio,2
Patriots,1
EastPalestineTrainDerailment,2
OhioDerailment,1
FACTSBEATMEMES,1
HAMCOGOP,2
OHVictory,2
NC,4
hotbox,3
Peru,1
debrashore,1
shore,1
spokesperson,1
Car,1
Liberals,1
101DalmatianStreet,2
Incompetence,1
complained,1
truckloads,1
contaminated,1
shipped,1
jurisdictions,1
disposal,1
derailmentdebris,1
edt22,1
lw22,1
med22,1
env22,1
e22,1
oc22,1
ArrestKatieHobbs,2
scottstriviaAITS,1
InconvenienceFee,1
中國人,2
cops,1
NATOisLosingTheWar,2
leadership,3
TulsiGabbardForPresident2024,3
Selfish,4
IntentionalTragedyOfAmerica,4
BidensReallyBadAdministration,4
TMZ,5
NorthCarolinaDerailment,4
PHMSA,1
outlawedmedia,7
Tradingnews,1
stockstotrade,1
CheaterJoe,1
finanzas,1
finanza,1
waterjustice,2
FlintWaterCrisis,2
